rank,candidate_id,name,career_stage,years_experience,location,expected_ctc_lpa,notice_period_days,skill_match_score,semantic_skill_score,required_skills_matched,matched_skills,experience_score,yoe_score,prestige_score,platform_score,github_score,linkedin_score,education_score,college_tier,cgpa,behavioral_score,fit_score,semantic_profile_score,rule_based_score,composite_score,ranking_method
119,CAND_0268,Candidate_268,mid,4,Mumbai,59.0,60,29.62,54.46,1/8,ml,86.3,100,78.0,31.91,30.7,33.7,80.04,IIT,9.12,67.29,58.7,51.26,54.22,53.18,hybrid (tfidf)
120,CAND_0418,Candidate_418,mid,2,Delhi,21.9,15,29.29,53.5,1/8,sql,63.0,80,40.0,38.37,36.7,40.8,68.92,IIT,7.08,84.15,96.25,50.76,54.49,53.18,hybrid (tfidf)
121,CAND_0217,Candidate_217,senior,8,Mumbai,14.4,15,32.38,55.38,1/8,ml,82.94,95,75.6,20.5,10.0,36.3,86.16,IIT,8.93,53.4,85.05,51.39,54.11,53.16,hybrid (tfidf)
122,CAND_0003,Candidate_3,mid,4,Remote,52.2,90,29.07,52.89,1/8,ml,94.0,100,100.0,22.2,10.0,40.5,78.79,NIT,9.12,70.45,59.46,50.96,54.27,53.11,hybrid (tfidf)
123,CAND_0332,Candidate_332,junior,2,Mumbai,43.6,15,32.77,54.16,2/8,"nlp, sql",64.75,80,45.0,44.5,15.9,87.5,62.46,Tier-2,9.28,62.08,96.25,51.12,54.16,53.1,hybrid (tfidf)
124,CAND_0087,Candidate_87,fresher,0,Hyderabad,47.3,60,29.33,51.29,2/8,"ml, nlp",34.5,40,20.0,61.26,81.4,31.1,90.34,IIT,8.99,91.73,87.5,50.67,54.37,53.08,hybrid (tfidf)
125,CAND_0437,Candidate_437,mid,4,Pune,46.7,15,38.22,53.5,3/8,"python, ml, sql",73.7,100,42.0,16.26,9.4,26.6,71.14,NIT,8.07,76.89,87.5,51.0,54.16,53.05,hybrid (tfidf)
126,CAND_0128,Candidate_128,senior,9,Pune,34.2,30,28.85,52.26,1/8,nlp,76.9,90,62.2,40.94,14.4,80.7,50.77,NIT,6.82,65.33,96.25,50.88,54.18,53.02,hybrid (tfidf)
127,CAND_0179,Candidate_179,mid,5,Remote,58.7,30,29.47,51.69,2/8,"python, ml",83.65,100,64.0,26.18,41.1,3.9,83.6,NIT,9.78,70.47,68.41,50.81,54.2,53.02,hybrid (tfidf)
128,CAND_0276,Candidate_276,mid,2,Mumbai,52.1,30,36.55,58.01,2/8,"python, nlp",64.1,80,56.0,36.44,38.0,34.1,64.8,IIT,7.03,66.29,89.53,51.74,53.69,53.01,hybrid (tfidf)
129,CAND_0121,Candidate_121,mid,5,Delhi,5.2,90,23.46,53.1,0/8,,92.05,100,88.0,35.58,41.1,27.3,74.39,NIT,9.03,78.11,50.5,51.07,53.99,52.97,hybrid (tfidf)
130,CAND_0326,Candidate_326,mid,5,Kolkata,37.1,0,23.6,53.5,0/8,,79.8,100,53.0,46.0,10.0,100.0,59.3,NIT,7.99,65.0,87.5,50.89,54.1,52.97,hybrid (tfidf)
131,CAND_0043,Candidate_43,mid,5,Delhi,44.4,90,26.22,51.69,1/8,ml,81.5,100,68.6,48.08,74.7,8.2,64.54,IIT,6.48,66.53,66.5,50.58,54.21,52.94,hybrid (tfidf)
132,CAND_0434,Candidate_434,mid,4,Bangalore,58.6,0,23.59,51.16,1/8,python,73.56,100,54.4,51.44,82.9,4.2,59.45,Tier-3,9.21,83.55,72.48,50.82,54.07,52.93,hybrid (tfidf)
133,CAND_0270,Candidate_270,senior,12,Delhi,46.3,60,38.5,56.62,2/8,"nlp, sql",70.89,75,64.5,16.41,10.0,26.0,74.02,IIT,7.78,65.0,96.25,51.4,53.63,52.85,hybrid (tfidf)
134,CAND_0034,Candidate_34,junior,1,Hyderabad,32.1,60,23.59,51.16,1/8,sql,62.5,60,80.0,59.53,39.7,89.2,54.93,Tier-3,8.59,73.23,96.25,50.6,53.98,52.8,hybrid (tfidf)
135,CAND_0133,Candidate_133,junior,0,Chennai,31.5,60,23.98,54.6,0/8,,34.5,40,20.0,80.56,68.5,98.7,78.51,IIT,8.91,79.0,87.5,50.9,53.79,52.78,hybrid (tfidf)
136,CAND_0255,Candidate_255,mid,3,Kolkata,55.7,60,30.48,54.6,2/8,"python, nlp",70.75,100,40.0,38.27,39.3,36.7,64.32,IIT,6.45,78.01,78.01,51.17,53.63,52.77,hybrid (tfidf)
137,CAND_0262,Candidate_262,mid,3,Remote,30.7,90,29.52,56.5,0/8,,77.5,100,40.0,32.93,40.5,21.6,68.77,NIT,8.26,71.8,75.25,51.56,53.42,52.77,hybrid (tfidf)
138,CAND_0020,Candidate_20,junior,0,Chennai,52.0,0,29.64,52.18,2/8,"nlp, sql",34.5,40,20.0,86.41,81.1,94.3,43.9,Tier-3,8.62,83.86,89.85,50.81,53.8,52.75,hybrid (tfidf)
139,CAND_0089,Candidate_89,mid,4,Pune,41.9,30,26.71,53.1,1/8,ml,93.0,100,80.0,27.05,37.1,11.9,70.57,BITS,8.85,46.45,87.5,50.8,53.79,52.75,hybrid (tfidf)
140,CAND_0007,Candidate_7,mid,4,Pune,4.5,0,41.09,54.73,3/8,"ml, nlp, sql",82.0,100,74.3,19.5,12.7,29.7,73.33,IIT,8.2,42.77,80.25,51.3,53.51,52.74,hybrid (tfidf)
141,CAND_0331,Candidate_331,junior,2,Pune,48.7,90,35.74,53.36,3/8,"python, ml, sql",62.0,80,50.0,47.76,14.3,98.0,65.2,NIT,7.77,66.74,75.25,50.96,53.68,52.73,hybrid (tfidf)
142,CAND_0300,Candidate_300,senior,8,Hyderabad,6.5,15,33.59,56.5,2/8,"python, nlp",73.42,95,48.3,24.81,34.3,10.6,88.59,IIT,8.75,66.73,71.5,51.51,53.38,52.72,hybrid (tfidf)
143,CAND_0251,Candidate_251,mid,5,Pune,21.2,30,29.71,52.39,2/8,"python, nlp",75.95,100,42.0,27.09,40.6,6.8,76.76,BITS,8.67,66.93,87.5,50.98,53.62,52.69,hybrid (tfidf)
144,CAND_0384,Candidate_384,senior,7,Remote,5.7,30,38.59,54.54,3/8,"python, ml, sql",80.43,100,64.4,18.75,10.0,31.9,79.64,BITS,8.55,58.0,71.5,50.95,53.56,52.65,hybrid (tfidf)
145,CAND_0301,Candidate_301,mid,4,Ahmedabad,43.9,60,20.77,52.39,0/8,,100.0,100,100.0,19.5,10.0,33.8,56.6,NIT,7.62,65.0,96.25,50.67,53.53,52.53,hybrid (tfidf)
146,CAND_0263,Candidate_263,mid,3,Chennai,41.2,30,32.69,53.94,2/8,"python, sql",79.15,100,64.0,19.65,8.6,36.2,73.14,IIT,6.63,57.99,96.25,50.72,53.5,52.52,hybrid (tfidf)
147,CAND_0340,Candidate_340,mid,3,Pune,57.9,15,35.31,54.46,2/8,"ml, sql",98.5,100,100.0,22.08,15.7,31.6,52.44,NIT,6.02,46.24,70.97,51.19,53.2,52.5,hybrid (tfidf)
148,CAND_0258,Candidate_258,mid,5,Delhi,52.2,30,29.64,52.18,2/8,"python, sql",88.55,100,78.0,22.71,35.8,3.1,91.88,IIT,9.2,38.05,80.46,50.58,53.5,52.48,hybrid (tfidf)
149,CAND_0493,Candidate_493,junior,2,Chennai,44.9,30,26.08,51.29,1/8,ml,84.0,80,100.0,30.49,26.6,36.4,65.73,Tier-2,8.7,59.74,87.5,51.25,53.09,52.45,hybrid (tfidf)
150,CAND_0411,Candidate_411,senior,11,Mumbai,22.8,90,26.78,55.61,0/8,,76.1,80,67.8,53.57,25.7,95.3,42.29,Tier-3,8.4,66.71,75.25,51.54,52.84,52.39,hybrid (tfidf)
151,CAND_0139,Candidate_139,mid,4,Bangalore,48.8,30,32.92,54.6,2/8,"ml, nlp",91.2,100,92.0,7.93,6.8,9.7,69.35,BITS,7.14,45.46,100.0,51.5,52.85,52.38,hybrid (tfidf)
152,CAND_0130,Candidate_130,fresher,0,Pune,44.9,90,31.22,59.03,1/8,sql,34.5,40,20.0,75.95,65.2,92.0,86.64,IIT,9.51,61.19,75.25,51.33,52.93,52.37,hybrid (tfidf)
153,CAND_0174,Candidate_174,mid,4,Mumbai,17.2,15,17.5,50.0,0/8,,81.75,100,73.6,48.31,76.7,5.8,63.52,NIT,7.54,59.78,90.65,50.54,53.33,52.35,hybrid (tfidf)
154,CAND_0216,Candidate_216,junior,1,Delhi,56.9,60,29.28,51.16,2/8,"ml, sql",57.25,60,65.0,57.89,74.9,32.4,58.32,Tier-3,9.57,91.22,65.42,50.54,53.3,52.33,hybrid (tfidf)
155,CAND_0371,Candidate_371,mid,5,Bangalore,37.7,15,29.52,54.16,1/8,sql,77.4,100,62.2,19.3,10.0,33.2,62.09,NIT,6.83,73.0,100.0,51.32,52.87,52.33,hybrid (tfidf)
156,CAND_0482,Candidate_482,mid,5,Pune,23.4,15,35.23,54.23,2/8,"python, nlp",75.75,100,52.1,16.98,9.1,28.9,57.84,Tier-3,8.99,80.37,87.5,51.25,52.86,52.3,hybrid (tfidf)
157,CAND_0477,Candidate_477,mid,5,Kolkata,6.9,30,34.84,53.1,2/8,"python, ml",76.0,100,52.9,28.75,30.5,26.1,60.79,BITS,6.48,73.76,71.5,50.94,52.95,52.25,hybrid (tfidf)
158,CAND_0319,Candidate_319,mid,3,Ahmedabad,56.9,0,21.96,55.77,0/8,,77.5,100,40.0,54.59,35.0,84.0,46.77,Tier-2,6.1,81.66,65.42,51.03,52.85,52.21,hybrid (tfidf)
159,CAND_0229,Candidate_229,junior,2,Kolkata,30.9,15,20.39,51.29,0/8,,77.0,80,80.0,55.81,31.1,92.9,51.91,Tier-3,8.69,50.47,96.25,50.5,52.97,52.1,hybrid (tfidf)
160,CAND_0177,Candidate_177,junior,1,Kolkata,53.1,60,23.64,51.29,1/8,python,62.5,60,80.0,56.96,32.4,93.7,51.08,Tier-2,7.72,78.76,86.33,50.56,52.71,51.96,hybrid (tfidf)
161,CAND_0202,Candidate_202,senior,9,Mumbai,10.5,90,35.23,54.24,2/8,"nlp, sql",73.25,90,42.1,28.47,34.2,19.9,65.45,Tier-2,9.69,80.93,59.25,51.1,52.37,51.93,hybrid (tfidf)
162,CAND_0092,Candidate_92,junior,2,Mumbai,39.5,60,17.95,51.29,0/8,,63.0,80,40.0,52.72,82.5,8.1,85.1,IIT,9.3,66.28,87.5,50.63,52.62,51.93,hybrid (tfidf)
163,CAND_0266,Candidate_266,junior,2,Ahmedabad,47.8,60,21.02,53.1,0/8,,71.75,80,65.0,43.16,15.9,84.0,61.23,BITS,6.54,66.72,96.25,51.25,52.28,51.92,hybrid (tfidf)
164,CAND_0209,Candidate_209,senior,12,Bangalore,22.3,15,32.87,54.46,2/8,"ml, nlp",69.3,75,60.0,18.31,10.0,30.8,68.16,BITS,7.49,69.0,100.0,51.55,52.12,51.92,hybrid (tfidf)
165,CAND_0024,Candidate_24,junior,2,Pune,8.1,15,17.5,50.0,0/8,,71.75,80,65.0,54.93,72.0,29.4,73.36,IIT,7.69,63.21,80.25,50.59,52.6,51.9,hybrid (tfidf)
166,CAND_0249,Candidate_249,mid,4,Bangalore,39.5,15,26.92,53.7,1/8,sql,73.7,100,42.0,35.86,33.6,39.2,60.18,Tier-3,9.31,55.14,100.0,51.15,52.28,51.88,hybrid (tfidf)
167,CAND_0256,Candidate_256,mid,4,Kolkata,17.7,30,26.39,52.18,1/8,nlp,73.0,100,40.0,32.16,39.3,21.5,80.98,IIT,8.22,54.63,91.65,50.75,52.49,51.88,hybrid (tfidf)
168,CAND_0492,Candidate_492,junior,2,Kolkata,47.8,60,17.5,50.0,0/8,,77.0,80,80.0,46.81,15.4,94.0,57.05,Tier-2,7.51,62.81,96.25,51.11,52.23,51.84,hybrid (tfidf)
169,CAND_0343,Candidate_343,senior,10,Chennai,53.6,0,35.63,53.06,3/8,"ml, nlp, sql",85.0,85,78.6,13.4,16.5,8.7,83.83,IIT,9.64,36.12,84.73,51.03,52.27,51.84,hybrid (tfidf)
170,CAND_0354,Candidate_354,junior,1,Bangalore,31.5,90,26.56,52.67,1/8,python,69.5,60,100.0,49.37,33.0,74.0,51.75,NIT,6.44,68.99,79.0,51.18,52.12,51.79,hybrid (tfidf)
171,CAND_0175,Candidate_175,junior,1,Bangalore,42.7,0,21.55,54.6,0/8,,69.5,60,100.0,31.34,31.6,31.0,75.1,IIT,6.9,70.17,100.0,51.52,51.92,51.78,hybrid (tfidf)
172,CAND_0022,Candidate_22,senior,7,Ahmedabad,25.6,60,29.65,54.54,1/8,sql,84.25,100,67.9,13.82,16.0,10.5,75.11,BITS,7.93,50.79,96.25,51.09,52.13,51.77,hybrid (tfidf)
173,CAND_0059,Candidate_59,fresher,0,Mumbai,23.1,0,18.12,51.77,0/8,,34.5,40,20.0,77.35,70.6,87.6,80.0,IIT,8.6,79.41,96.25,50.34,52.52,51.75,hybrid (tfidf)
174,CAND_0120,Candidate_120,senior,9,Ahmedabad,57.0,60,26.98,53.88,1/8,python,78.5,90,57.1,27.05,24.9,30.3,54.65,Tier-2,7.18,89.13,73.85,51.3,52.0,51.75,hybrid (tfidf)
175,CAND_0160,Candidate_160,senior,7,Remote,51.0,15,28.97,52.58,1/8,python,90.0,100,84.3,8.23,9.3,6.6,82.32,IIT,7.89,54.33,84.3,51.04,52.07,51.71,hybrid (tfidf)
176,CAND_0243,Candidate_243,senior,11,Delhi,33.2,0,35.56,55.18,2/8,"python, sql",73.76,80,61.1,22.91,16.8,32.1,75.67,IIT,8.52,45.17,87.5,51.21,51.85,51.63,hybrid (tfidf)
177,CAND_0104,Candidate_104,mid,3,Mumbai,25.4,60,35.31,54.46,2/8,"nlp, sql",76.35,100,56.0,30.08,33.6,24.7,53.98,Tier-3,8.46,49.81,87.5,51.03,51.93,51.62,hybrid (tfidf)
178,CAND_0407,Candidate_407,junior,2,Ahmedabad,45.3,90,17.5,50.0,0/8,,71.75,80,65.0,59.24,32.1,100.0,38.08,Tier-3,6.28,91.18,75.25,50.6,52.15,51.61,hybrid (tfidf)
179,CAND_0325,Candidate_325,mid,3,Bangalore,10.3,30,23.78,51.69,1/8,sql,71.45,100,42.0,43.48,16.5,84.0,62.73,NIT,8.46,66.17,84.0,50.93,51.97,51.61,hybrid (tfidf)
180,CAND_0017,Candidate_17,mid,4,Ahmedabad,58.7,90,35.31,54.46,2/8,"ml, sql",85.5,100,84.3,30.96,32.6,28.5,53.77,Tier-2,7.06,75.95,38.66,51.14,51.81,51.58,hybrid (tfidf)
181,CAND_0057,Candidate_57,mid,4,Remote,49.1,60,20.77,52.39,0/8,,82.0,100,74.3,38.73,2.5,93.1,41.3,Tier-3,7.75,70.16,96.25,50.77,52.01,51.58,hybrid (tfidf)
182,CAND_0344,Candidate_344,senior,7,Hyderabad,25.8,60,38.76,55.04,3/8,"python, nlp, sql",82.25,100,62.1,7.09,10.0,2.7,60.17,Tier-2,9.48,51.6,96.25,51.14,51.8,51.57,hybrid (tfidf)
183,CAND_0490,Candidate_490,junior,1,Chennai,24.8,60,23.19,50.0,1/8,ml,69.5,60,100.0,46.0,10.0,100.0,79.38,IIT,8.0,48.75,87.5,50.5,52.09,51.53,hybrid (tfidf)
184,CAND_0155,Candidate_155,junior,2,Kolkata,16.9,30,21.26,53.77,0/8,,84.0,80,100.0,33.71,33.2,34.4,59.95,NIT,7.05,63.57,81.3,51.66,51.41,51.5,hybrid (tfidf)
185,CAND_0088,Candidate_88,mid,2,Ahmedabad,57.8,15,39.82,58.06,3/8,"python, nlp, sql",77.0,80,80.0,41.3,17.0,77.7,30.62,Tier-3,6.8,48.3,71.29,51.71,51.34,51.47,hybrid (tfidf)
186,CAND_0321,Candidate_321,mid,2,Delhi,45.6,0,39.28,56.5,3/8,"python, nlp, sql",63.0,80,40.0,12.08,16.6,5.3,93.84,IIT,9.47,54.31,87.5,51.56,51.38,51.45,hybrid (tfidf)
187,CAND_0014,Candidate_14,senior,7,Bangalore,11.6,60,32.4,53.1,2/8,"python, ml",77.5,100,48.6,11.22,11.9,10.2,88.08,IIT,8.68,54.79,84.0,51.33,51.48,51.43,hybrid (tfidf)
188,CAND_0436,Candidate_436,mid,5,Ahmedabad,11.0,60,27.53,55.43,1/8,nlp,88.9,100,79.0,31.04,39.7,18.0,51.9,NIT,6.46,49.9,80.25,51.04,51.61,51.41,hybrid (tfidf)
189,CAND_0358,Candidate_358,senior,9,Remote,37.5,15,26.29,51.89,1/8,sql,74.57,90,55.6,30.67,34.8,24.5,54.75,Tier-3,9.08,68.57,96.25,50.68,51.77,51.39,hybrid (tfidf)
190,CAND_0068,Candidate_68,junior,2,Chennai,20.2,30,17.5,50.0,0/8,,84.0,80,100.0,43.42,6.4,99.0,43.71,Tier-3,8.08,62.34,96.25,50.65,51.78,51.38,hybrid (tfidf)
191,CAND_0170,Candidate_170,mid,2,Ahmedabad,32.4,15,26.29,51.89,1/8,python,63.05,80,53.0,38.94,35.7,43.8,57.99,Tier-3,9.01,73.9,96.25,50.9,51.58,51.34,hybrid (tfidf)
192,CAND_0148,Candidate_148,senior,9,Bangalore,6.9,0,32.02,52.02,2/8,"ml, sql",83.9,90,82.2,19.77,15.1,26.7,52.08,Tier-3,8.2,59.73,84.0,51.25,51.2,51.22,hybrid (tfidf)
193,CAND_0190,Candidate_190,mid,5,Remote,40.5,90,27.53,55.43,1/8,sql,88.55,100,78.0,21.21,10.0,38.0,60.97,Tier-2,9.59,60.2,75.25,51.11,51.2,51.17,hybrid (tfidf)
194,CAND_0246,Candidate_246,senior,8,Ahmedabad,56.6,15,23.48,50.83,1/8,nlp,89.17,95,93.3,20.75,27.6,10.4,78.58,IIT,8.92,54.15,75.13,50.83,51.18,51.06,hybrid (tfidf)
195,CAND_0108,Candidate_108,mid,3,Hyderabad,15.8,30,20.34,51.16,0/8,,79.25,100,45.0,34.41,38.4,28.4,56.76,Tier-2,7.47,80.65,79.1,50.47,51.38,51.06,hybrid (tfidf)
196,CAND_0027,Candidate_27,mid,4,Chennai,7.4,30,32.06,54.46,1/8,ml,87.75,100,65.0,8.9,10.0,7.3,73.98,NIT,8.46,49.5,80.25,51.3,50.9,51.04,hybrid (tfidf)
197,CAND_0370,Candidate_370,mid,4,Mumbai,16.8,30,17.85,50.99,0/8,,79.65,100,59.0,35.89,34.0,38.8,73.92,IIT,8.28,55.38,89.85,50.61,51.25,51.03,hybrid (tfidf)
198,CAND_0447,Candidate_447,mid,4,Remote,4.3,0,38.3,53.7,3/8,"python, ml, nlp",82.1,100,66.0,10.43,10.0,11.1,62.57,BITS,6.21,50.7,80.25,51.26,50.78,50.95,hybrid (tfidf)
199,CAND_0066,Candidate_66,mid,5,Kolkata,39.6,60,21.16,53.5,0/8,,75.25,100,40.0,32.69,30.7,35.7,61.73,NIT,6.78,60.78,96.25,51.35,50.66,50.9,hybrid (tfidf)
200,CAND_0374,Candidate_374,mid,5,Chennai,22.7,60,20.26,50.92,0/8,,84.0,100,65.0,19.24,10.0,33.1,46.32,Tier-3,7.41,95.0,87.5,50.83,50.9,50.88,hybrid (tfidf)
201,CAND_0238,Candidate_238,senior,10,Hyderabad,27.9,0,26.84,55.79,0/8,,78.64,85,71.1,30.68,33.9,25.9,62.18,BITS,6.67,47.9,87.5,51.27,50.63,50.86,hybrid (tfidf)
202,CAND_0183,Candidate_183,junior,1,Mumbai,20.8,60,35.4,52.39,3/8,"ml, nlp, sql",50.25,60,45.0,24.24,18.8,32.5,91.58,IIT,9.16,59.33,96.25,51.03,50.75,50.85,hybrid (tfidf)
203,CAND_0497,Candidate_497,mid,5,Chennai,31.7,0,23.31,52.67,0/8,,84.35,100,66.0,20.95,15.8,28.7,79.31,IIT,9.02,40.69,96.25,50.67,50.95,50.85,hybrid (tfidf)
204,CAND_0400,Candidate_400,mid,4,Pune,34.7,15,26.25,51.78,1/8,ml,84.9,100,74.0,23.57,35.2,6.1,72.21,NIT,9.76,32.78,96.25,50.53,50.92,50.78,hybrid (tfidf)
205,CAND_0346,Candidate_346,junior,2,Delhi,13.8,0,21.26,53.77,0/8,,65.15,80,59.0,45.88,15.8,91.0,67.84,Tier-2,8.99,63.66,83.85,51.15,50.5,50.73,hybrid (tfidf)
206,CAND_0275,Candidate_275,mid,2,Bangalore,40.4,60,23.67,53.7,0/8,,77.0,80,80.0,17.31,13.3,23.3,75.82,BITS,9.57,58.85,100.0,50.85,50.62,50.7,hybrid (tfidf)
207,CAND_0408,Candidate_408,junior,0,Pune,46.5,90,26.94,53.77,1/8,python,34.5,40,20.0,64.81,41.4,100.0,70.16,NIT,8.45,87.74,75.25,50.78,50.65,50.7,hybrid (tfidf)
208,CAND_0205,Candidate_205,mid,5,Mumbai,6.1,30,26.33,52.02,1/8,sql,75.5,100,51.4,31.58,35.9,25.1,52.09,Tier-2,6.83,80.55,71.5,50.79,50.61,50.67,hybrid (tfidf)
209,CAND_0383,Candidate_383,junior,1,Kolkata,57.0,15,29.81,52.67,2/8,"python, sql",48.5,60,40.0,53.41,85.6,5.1,79.52,IIT,8.02,67.82,65.1,51.05,50.47,50.67,hybrid (tfidf)
210,CAND_0037,Candidate_37,mid,5,Chennai,6.1,15,17.5,50.0,0/8,,83.24,100,78.9,38.0,8.1,82.9,59.97,Tier-2,7.91,63.26,80.25,50.47,50.75,50.65,hybrid (tfidf)
211,CAND_0012,Candidate_12,junior,2,Hyderabad,49.2,15,24.68,56.58,0/8,,77.0,80,80.0,23.42,33.3,8.6,75.74,BITS,8.53,44.81,96.25,51.34,50.24,50.62,hybrid (tfidf)
212,CAND_0026,Candidate_26,mid,3,Kolkata,10.1,30,20.77,52.39,0/8,,91.5,100,80.0,20.35,10.0,35.9,66.33,BITS,7.24,59.45,80.25,50.52,50.63,50.59,hybrid (tfidf)
213,CAND_0426,Candidate_426,fresher,0,Hyderabad,55.8,15,23.19,50.0,1/8,ml,34.5,40,20.0,76.8,72.5,83.2,81.75,BITS,8.84,72.67,68.94,50.32,50.71,50.57,hybrid (tfidf)
214,CAND_0165,Candidate_165,mid,3,Delhi,33.3,90,23.0,51.78,0/8,,83.35,100,76.0,28.97,25.4,34.3,73.51,NIT,8.91,50.08,75.25,50.72,50.34,50.47,hybrid (tfidf)
215,CAND_0391,Candidate_391,senior,9,Pune,51.9,90,23.78,51.69,1/8,nlp,88.5,90,85.7,17.14,13.8,22.1,81.67,IIT,7.8,52.06,69.17,51.04,49.98,50.35,hybrid (tfidf)
216,CAND_0395,Candidate_395,mid,5,Remote,57.2,90,23.21,52.39,0/8,,79.75,100,63.6,55.45,32.4,90.0,31.06,Tier-3,6.86,73.32,52.21,50.7,50.15,50.34,hybrid (tfidf)
217,CAND_0403,Candidate_403,junior,0,Hyderabad,26.7,15,26.08,51.29,1/8,ml,34.5,40,20.0,55.64,33.7,88.6,73.92,NIT,9.48,77.9,96.25,50.43,50.24,50.3,hybrid (tfidf)
218,CAND_0015,Candidate_15,mid,4,Mumbai,58.0,15,32.49,53.36,2/8,"python, sql",91.2,100,92.0,22.37,15.5,32.7,40.62,Tier-2,6.8,49.94,70.65,50.91,49.96,50.29,hybrid (tfidf)
219,CAND_0151,Candidate_151,junior,1,Kolkata,24.5,0,29.35,53.69,1/8,python,50.25,60,45.0,39.35,44.4,31.8,63.89,BITS,6.39,76.55,87.5,51.23,49.74,50.26,hybrid (tfidf)
220,CAND_0305,Candidate_305,mid,4,Remote,25.0,15,21.23,53.69,0/8,,74.75,100,53.6,35.49,38.0,31.6,48.17,Tier-2,7.32,63.13,96.25,50.83,49.96,50.26,hybrid (tfidf)
221,CAND_0366,Candidate_366,senior,9,Chennai,22.0,90,29.09,52.94,1/8,ml,80.01,90,71.1,27.4,41.2,6.7,46.55,Tier-3,8.47,62.43,75.25,51.15,49.68,50.2,hybrid (tfidf)
222,CAND_0264,Candidate_264,mid,2,Pune,36.5,0,20.34,51.16,0/8,,64.1,80,56.0,35.32,33.1,38.6,73.23,BITS,8.7,64.63,96.25,50.56,49.97,50.18,hybrid (tfidf)
223,CAND_0143,Candidate_143,mid,5,Kolkata,22.2,0,26.1,53.69,0/8,,75.5,100,51.4,19.64,13.4,29.1,67.34,IIT,6.35,55.02,96.25,50.66,49.84,50.12,hybrid (tfidf)
224,CAND_0173,Candidate_173,mid,4,Mumbai,18.9,60,24.02,52.39,1/8,nlp,85.6,100,76.0,10.66,10.0,11.6,73.07,BITS,7.65,49.9,94.05,50.89,49.66,50.09,hybrid (tfidf)
225,CAND_0221,Candidate_221,junior,2,Kolkata,21.7,60,23.64,51.29,1/8,sql,64.75,80,45.0,43.79,10.0,94.5,60.38,Tier-2,8.48,57.5,87.5,50.71,49.76,50.09,hybrid (tfidf)
226,CAND_0294,Candidate_294,senior,10,Remote,40.7,15,38.53,56.68,2/8,"python, ml",72.25,85,42.1,7.79,10.0,4.5,74.14,IIT,8.31,43.25,87.5,51.28,49.35,50.02,hybrid (tfidf)
227,CAND_0297,Candidate_297,mid,4,Chennai,40.9,60,26.39,52.18,1/8,ml,73.7,100,42.0,28.19,41.0,9.0,42.14,Tier-3,7.35,66.63,96.25,50.58,49.71,50.01,hybrid (tfidf)
228,CAND_0353,Candidate_353,mid,4,Remote,42.9,60,29.97,55.46,1/8,nlp,70.5,100,41.4,27.41,38.9,10.2,61.58,Tier-2,9.16,40.9,96.25,51.22,49.31,49.98,hybrid (tfidf)
229,CAND_0124,Candidate_124,mid,2,Remote,14.6,60,32.92,54.6,2/8,"nlp, sql",84.0,80,100.0,16.4,10.0,26.0,43.9,Tier-3,8.62,61.4,76.7,50.85,49.51,49.98,hybrid (tfidf)
230,CAND_0302,Candidate_302,junior,0,Bangalore,20.4,15,26.7,53.08,1/8,python,34.5,40,20.0,63.67,39.4,100.0,50.77,Tier-3,8.02,72.6,100.0,51.0,49.4,49.96,hybrid (tfidf)
231,CAND_0271,Candidate_271,mid,2,Remote,14.4,30,23.51,50.92,1/8,ml,77.0,80,80.0,27.42,26.9,28.2,60.5,BITS,6.44,61.01,85.05,50.67,49.58,49.96,hybrid (tfidf)
232,CAND_0194,Candidate_194,mid,3,Hyderabad,54.2,90,29.24,53.36,1/8,nlp,86.25,100,65.0,23.83,35.0,7.0,57.11,Tier-3,8.89,53.01,61.81,51.26,49.23,49.94,hybrid (tfidf)
233,CAND_0185,Candidate_185,mid,4,Kolkata,14.7,90,32.78,56.5,1/8,python,80.75,100,45.0,19.36,27.2,7.6,57.4,NIT,6.7,58.01,64.65,51.47,49.09,49.92,hybrid (tfidf)
234,CAND_0291,Candidate_291,fresher,0,Hyderabad,9.8,15,30.66,55.09,2/8,"nlp, sql",34.5,40,20.0,65.85,43.1,100.0,72.17,IIT,8.04,60.31,71.5,51.45,49.04,49.88,hybrid (tfidf)
235,CAND_0171,Candidate_171,mid,5,Kolkata,18.9,60,35.04,53.69,2/8,"python, ml",77.25,100,56.4,20.17,12.2,32.2,56.01,Tier-2,8.91,31.46,94.05,50.93,49.29,49.86,hybrid (tfidf)
236,CAND_0279,Candidate_279,junior,2,Mumbai,35.7,15,17.5,50.0,0/8,,72.5,80,80.0,48.92,76.1,8.1,49.07,Tier-3,9.33,49.51,96.25,50.49,49.49,49.84,hybrid (tfidf)
237,CAND_0416,Candidate_416,junior,1,Delhi,22.4,30,29.07,52.89,1/8,python,48.5,60,40.0,38.31,1.9,92.9,80.25,NIT,9.32,63.25,87.5,50.65,49.39,49.83,hybrid (tfidf)
238,CAND_0086,Candidate_86,mid,3,Delhi,36.6,90,20.95,52.89,0/8,,98.5,100,100.0,25.63,35.6,10.7,55.73,BITS,6.3,44.85,66.5,50.86,49.28,49.83,hybrid (tfidf)
239,CAND_0499,Candidate_499,mid,4,Delhi,8.0,0,24.29,55.46,0/8,,87.0,100,80.0,23.76,15.0,36.9,43.79,Tier-2,6.72,60.01,80.25,51.18,49.11,49.83,hybrid (tfidf)
